,Date and Time,O'Connell St Outside Clerys,Grafton St at Card Gallery,O'Connell Street at Easons,Henry Street at Butlers,Grafton Street at Korkys
0,2008-01-07 00:00:00,0,0,0,0,0
1,2008-01-07 01:00:00,0,0,0,0,0
2,2008-01-07 02:00:00,0,0,0,0,0
3,2008-01-07 03:00:00,0,0,0,0,0
4,2008-01-07 04:00:00,0,0,0,0,0
5,2008-01-07 05:00:00,0,0,0,0,0
6,2008-01-07 06:00:00,0,0,0,0,0
7,2008-01-07 07:00:00,0,0,0,0,0
8,2008-01-07 08:00:00,0,0,0,0,0
9,2008-01-07 09:00:00,0,0,0,0,0
10,2008-01-07 10:00:00,0,0,0,0,0
11,2008-01-07 11:00:00,0,0,0,0,0
12,2008-01-07 12:00:00,0,0,0,0,0
13,2008-01-07 13:00:00,0,0,0,0,0
14,2008-01-07 14:00:00,0,0,0,0,0
15,2008-01-07 15:00:00,0,0,0,0,0
16,2008-01-07 16:00:00,0,0,0,0,0
17,2008-01-07 17:00:00,0,0,0,0,0
18,2008-01-07 18:00:00,0,0,0,0,0
19,2008-01-07 19:00:00,0,0,0,0,0
20,2008-01-07 20:00:00,0,0,0,0,0
21,2008-01-07 21:00:00,0,0,0,0,0
22,2008-01-07 22:00:00,0,0,0,0,0
23,2008-01-07 23:00:00,0,0,0,0,0
24,2008-01-08 00:00:00,1429,2150,1515,1013,467
25,2008-01-08 01:00:00,1044,1984,1521,1075,349
26,2008-01-08 02:00:00,1272,2428,1955,1287,261
27,2008-01-08 03:00:00,1364,2152,1678,1544,286
28,2008-01-08 04:00:00,460,855,704,405,152
29,2008-01-08 05:00:00,191,209,216,87,76
30,2008-01-08 06:00:00,163,148,235,97,81
31,2008-01-08 07:00:00,248,211,224,178,115
32,2008-01-08 08:00:00,186,188,188,155,151
33,2008-01-08 09:00:00,400,422,377,310,223
34,2008-01-08 10:00:00,773,981,928,515,695
35,2008-01-08 11:00:00,1133,2080,1589,915,1260
36,2008-01-08 12:00:00,1541,3298,2602,1312,2286
37,2008-01-08 13:00:00,1713,4185,3312,1372,2670
38,2008-01-08 14:00:00,1631,5221,3933,1829,3175
39,2008-01-08 15:00:00,1908,5719,3903,2038,3293
40,2008-01-08 16:00:00,2191,6527,4016,2203,2904
41,2008-01-08 17:00:00,2252,5952,3007,2128,2121
42,2008-01-08 18:00:00,1678,4039,2634,1719,1427
43,2008-01-08 19:00:00,1430,2039,1432,1608,877
44,2008-01-08 20:00:00,1452,1674,1161,1385,661
45,2008-01-08 21:00:00,1044,1215,967,1065,382
46,2008-01-08 22:00:00,955,1220,963,938,248
47,2008-01-08 23:00:00,608,623,564,713,187
48,2008-01-09 00:00:00,439,447,354,232,136
49,2008-01-09 01:00:00,155,188,168,260,48
50,2008-01-09 02:00:00,93,101,175,167,66
51,2008-01-09 03:00:00,113,100,110,106,157
52,2008-01-09 04:00:00,49,148,148,68,69
53,2008-01-09 05:00:00,114,269,252,75,275
54,2008-01-09 06:00:00,402,559,552,257,407
55,2008-01-09 07:00:00,1096,1428,1067,712,594
56,2008-01-09 08:00:00,1785,2585,2656,1161,1581
57,2008-01-09 09:00:00,1424,1492,2249,1292,2013
58,2008-01-09 10:00:00,1989,2572,2496,2116,2688
59,2008-01-09 11:00:00,2640,4136,4280,3273,5081
60,2008-01-09 12:00:00,3695,8127,7750,5039,8013
61,2008-01-09 13:00:00,4420,11314,11261,6876,11364
62,2008-01-09 14:00:00,4782,10799,11152,6914,10846
63,2008-01-09 15:00:00,4322,11308,10516,7289,11159
64,2008-01-09 16:00:00,4392,12464,10461,7506,9940
65,2008-01-09 17:00:00,4401,12537,9940,6930,7788
66,2008-01-09 18:00:00,3333,8802,5548,5423,4873
67,2008-01-09 19:00:00,2013,3676,2363,3342,2165
68,2008-01-09 20:00:00,1689,1899,1421,2223,965
69,2008-01-09 21:00:00,965,1223,946,1418,507
70,2008-01-09 22:00:00,1041,1195,899,1118,352
71,2008-01-09 23:00:00,696,724,597,716,236
72,2008-01-10 00:00:00,313,461,350,238,107
73,2008-01-10 01:00:00,157,255,164,259,39
74,2008-01-10 02:00:00,134,126,221,164,102
75,2008-01-10 03:00:00,140,221,133,105,51
76,2008-01-10 04:00:00,69,128,158,37,109
77,2008-01-10 05:00:00,132,264,281,76,207
78,2008-01-10 06:00:00,530,640,567,289,427
79,2008-01-10 07:00:00,1127,1659,1328,630,820
80,2008-01-10 08:00:00,1883,3477,3019,1075,1295
81,2008-01-10 09:00:00,1633,2125,1731,1126,1646
82,2008-01-10 10:00:00,2070,2546,2682,1948,2892
83,2008-01-10 11:00:00,3145,3779,3812,2738,4507
84,2008-01-10 12:00:00,6339,7098,7008,4551,6730
85,2008-01-10 13:00:00,9289,10412,9825,5970,9295
86,2008-01-10 14:00:00,3683,8863,7675,5191,8195
87,2008-01-10 15:00:00,4631,8932,8733,6065,8526
88,2008-01-10 16:00:00,4141,11495,8718,6947,8234
89,2008-01-10 17:00:00,4486,12810,9479,7820,7845
90,2008-01-10 18:00:00,3442,11066,6505,6455,5122
91,2008-01-10 19:00:00,2159,7089,3387,4718,2789
92,2008-01-10 20:00:00,1790,3770,2224,2713,1804
93,2008-01-10 21:00:00,1263,1611,1360,1236,850
94,2008-01-10 22:00:00,1164,1182,868,867,421
95,2008-01-10 23:00:00,731,822,690,574,216
96,2008-01-11 00:00:00,344,472,446,337,124
97,2008-01-11 01:00:00,253,155,206,384,64
98,2008-01-11 02:00:00,173,275,221,292,31
99,2008-01-11 03:00:00,124,194,179,136,126
100,2008-01-11 04:00:00,54,176,178,39,79
101,2008-01-11 05:00:00,107,254,323,74,185
102,2008-01-11 06:00:00,453,632,646,251,401
103,2008-01-11 07:00:00,1040,1036,1214,586,825
104,2008-01-11 08:00:00,1711,3653,2846,1168,1541
105,2008-01-11 09:00:00,1620,2465,2763,1340,2101
106,2008-01-11 10:00:00,2202,2919,2825,1831,2691
107,2008-01-11 11:00:00,4580,3527,3703,2723,4052
108,2008-01-11 12:00:00,7466,6656,6030,4603,5410
109,2008-01-11 13:00:00,7153,8553,7290,5645,7023
110,2008-01-11 14:00:00,4073,6907,6061,5058,6368
111,2008-01-11 15:00:00,3307,7641,6693,6191,6415
112,2008-01-11 16:00:00,3420,10110,7278,6434,7033
113,2008-01-11 17:00:00,4392,12281,8630,7090,7464
114,2008-01-11 18:00:00,2832,9243,5735,6220,4842
115,2008-01-11 19:00:00,2001,4522,2958,4911,2396
116,2008-01-11 20:00:00,1802,2617,1858,3066,1138
117,2008-01-11 21:00:00,1068,1784,1464,1318,599
118,2008-01-11 22:00:00,1213,1810,1382,961,424
119,2008-01-11 23:00:00,804,1409,1190,627,223
120,2008-01-12 00:00:00,391,947,812,325,151
121,2008-01-12 01:00:00,223,670,572,364,100
122,2008-01-12 02:00:00,261,431,467,313,74
123,2008-01-12 03:00:00,290,542,526,220,135
124,2008-01-12 04:00:00,64,211,214,51,48
125,2008-01-12 05:00:00,98,248,135,46,130
126,2008-01-12 06:00:00,236,410,319,104,265
127,2008-01-12 07:00:00,393,641,527,280,280
128,2008-01-12 08:00:00,456,919,1008,459,687
