Date and Time,OConnell St Outside Pennys ,OConnell St Outside Clerys ,Mary Street,Capel Street,Aston Quay,Grafton Street at CompuB,Talbot Street North,Doilier Street Burgh Quay,Dawson Street Replacement,Dame Street,Talbot Street South,OConnell St Parnell St at AIB,Grafton Street - Nassau Street - Suffolk Street,College Green Bank Of Ireland,Henry Street,Westmoreland Street East,Dawson Street,Liffey Street,Westmoreland Street West,Grafton Street,Bachelors Walk,College Green at Church Lane,College Green - Dame St Side
01/06/2020 00:00,30,41,,44,333,356,42,75,7,18,4,29,9,131,286,23,,6,34,,3,16,23
01/06/2020 01:00,26,25,,22,210,699,30,144,3,19,2,10,4,68,152,3,,5,26,,11,15,7
01/06/2020 02:00,14,9,,36,204,8,44,70,2,8,5,28,2,49,15,0,,6,13,,0,2,3
01/06/2020 03:00,8,6,,207,9,4,46,43,3,7,1,7,3,40,8,3,,5,8,,0,1,7
01/06/2020 04:00,5,4,,2,3,0,3,8,2,2,1,6,1,35,14,0,,3,3,,0,3,5
01/06/2020 05:00,14,11,,4,9,3,4,22,1,7,1,10,5,48,92,5,,5,14,,1,8,8
01/06/2020 06:00,37,57,,6,45,27,17,45,14,18,9,21,10,98,247,9,,3,68,,2,16,19
01/06/2020 07:00,66,100,,30,124,269,66,76,26,33,24,49,21,98,277,29,,10,122,,5,48,30
01/06/2020 08:00,145,103,,45,344,181,42,93,57,61,9,62,29,146,288,26,,25,130,,3,62,55
01/06/2020 09:00,169,146,,107,373,216,72,165,87,101,47,185,36,187,551,50,,57,165,,5,73,61
01/06/2020 10:00,272,224,,150,415,371,88,180,143,95,30,243,61,251,828,88,,91,261,,35,83,111
01/06/2020 11:00,411,323,,140,316,379,149,238,163,133,45,364,103,363,1280,80,,185,339,,102,114,169
01/06/2020 12:00,508,414,,190,338,549,152,295,214,209,60,445,131,447,1270,285,,169,504,,170,170,178
01/06/2020 13:00,619,530,,229,729,514,143,244,165,237,83,487,163,505,1371,194,,252,573,,240,194,261
01/06/2020 14:00,1158,739,,132,682,488,165,311,222,303,91,509,273,577,1753,276,,285,803,,311,269,287
01/06/2020 15:00,1267,982,,150,968,608,203,545,207,340,99,567,1093,717,1797,496,,306,822,,304,315,784
01/06/2020 16:00,648,537,,161,762,456,146,250,154,288,73,489,249,555,1268,216,,318,571,,78,232,261
01/06/2020 17:00,639,551,,90,690,563,119,197,217,290,58,492,251,542,1418,298,,285,869,,68,251,298
01/06/2020 18:00,551,482,,109,477,534,94,174,160,173,47,480,111,457,1239,144,,167,640,,39,190,196
01/06/2020 19:00,501,329,,127,599,336,100,146,113,161,47,403,65,411,1100,85,,166,528,,3,181,109
01/06/2020 20:00,342,281,,72,485,386,108,188,98,118,35,319,70,357,651,75,,92,462,,10,169,108
01/06/2020 21:00,226,259,,69,414,266,79,176,80,108,35,194,33,339,636,699,,47,329,,6,94,55
01/06/2020 22:00,155,174,,31,281,200,74,288,98,72,43,137,21,353,623,474,,35,343,,1,95,51
01/06/2020 23:00,65,83,,35,304,58,63,250,64,32,19,75,23,265,609,416,,22,59,,2,44,42
02/06/2020 00:00,34,38,,50,137,51,44,157,14,19,5,21,1,115,145,26,,9,46,,0,15,19
02/06/2020 01:00,30,19,,29,25,18,96,162,2,13,4,19,1,47,30,24,,6,26,,0,19,5
02/06/2020 02:00,5,10,,5,17,0,85,58,5,4,8,10,0,37,407,12,,1,14,,1,1,5
02/06/2020 03:00,1,7,,1,16,103,16,94,6,9,2,4,1,32,133,1,,0,6,,0,0,7
02/06/2020 04:00,9,6,,21,16,20,22,8,14,5,1,6,3,35,18,2,,2,6,,0,3,2
02/06/2020 05:00,18,45,,5,89,16,59,15,30,25,12,14,10,86,69,9,,2,37,,5,18,28
02/06/2020 06:00,127,234,,20,316,181,48,163,140,114,56,61,55,301,287,86,,30,274,,24,99,98
02/06/2020 07:00,190,236,,47,719,311,125,316,203,212,38,117,97,439,515,119,,46,284,,84,160,159
02/06/2020 08:00,304,296,,74,586,426,68,235,132,161,39,180,108,471,527,146,,72,324,,44,179,206
02/06/2020 09:00,336,331,,82,497,408,67,199,342,210,33,225,114,412,917,123,,116,262,,35,122,180
02/06/2020 10:00,475,473,,178,904,342,207,216,235,224,15,473,111,405,1391,123,,155,350,,74,177,149
02/06/2020 11:00,692,567,,189,759,397,246,207,303,208,34,557,122,427,1870,135,,232,455,,187,189,172
02/06/2020 12:00,717,705,,151,639,448,278,284,224,298,55,663,194,488,2006,178,,281,584,,268,222,221
02/06/2020 13:00,846,606,,252,1015,362,330,376,243,372,52,666,217,493,2132,197,,269,594,,315,261,266
02/06/2020 14:00,799,669,,129,1022,231,279,406,176,268,59,645,221,535,2227,136,,263,520,,254,267,281
02/06/2020 15:00,693,569,,68,881,315,190,292,137,234,47,501,164,548,1807,161,,272,464,,229,254,306
02/06/2020 16:00,735,534,,126,793,359,4,231,271,265,53,525,131,581,2011,142,,276,547,,67,228,275
02/06/2020 17:00,719,447,,53,607,372,21,254,253,281,47,529,114,594,1948,89,,265,701,,49,290,271
02/06/2020 18:00,625,460,,106,593,288,154,215,160,238,63,508,105,569,1574,104,,209,528,,31,223,197
02/06/2020 19:00,467,358,,88,390,171,103,156,149,156,61,400,95,405,1422,61,,106,424,,12,183,132
02/06/2020 20:00,372,287,,85,364,137,91,203,134,125,40,296,68,351,1158,73,,73,317,,8,161,113
02/06/2020 21:00,237,215,,61,329,155,80,100,106,88,42,186,29,286,760,32,,48,256,,8,107,59
02/06/2020 22:00,135,157,,44,241,147,100,154,72,68,37,114,23,282,693,40,,38,150,,5,62,59
02/06/2020 23:00,71,108,,19,234,28,192,244,64,33,25,46,12,231,383,40,,15,69,,4,29,31
03/06/2020 00:00,17,25,,16,75,17,92,203,33,22,5,29,2,95,202,6,,8,42,,1,12,8
03/06/2020 01:00,8,11,,8,158,12,24,210,3,6,3,20,2,36,75,24,,3,15,,2,6,2
03/06/2020 02:00,18,6,,2,19,1,41,80,12,6,2,11,0,31,53,3,,4,9,,5,1,1
03/06/2020 03:00,4,4,,6,4,50,28,7,2,4,1,5,0,23,249,2,,0,21,,1,6,1
03/06/2020 04:00,13,4,,80,6,5,10,58,5,4,0,6,2,31,106,17,,7,5,,3,4,3
03/06/2020 05:00,16,48,,4,39,31,23,30,27,25,26,9,11,54,145,38,,3,22,,1,18,32
03/06/2020 06:00,96,228,,34,299,242,61,151,98,102,14,67,47,245,486,113,,30,195,,13,110,102
03/06/2020 07:00,149,240,,42,840,482,86,192,151,148,35,118,58,335,378,158,,30,231,,40,111,119
03/06/2020 08:00,224,289,,54,574,320,119,256,177,155,71,169,69,446,653,83,,49,242,,17,168,149
03/06/2020 09:00,202,222,,68,398,305,119,193,64,153,34,184,48,409,641,62,,60,161,,10,108,103
03/06/2020 10:00,213,374,,84,471,362,33,235,85,156,11,320,43,362,768,51,,89,243,,32,117,94
03/06/2020 11:00,281,436,,127,633,168,88,310,103,143,17,492,75,333,1136,141,,145,316,,26,156,109
03/06/2020 12:00,331,490,,189,915,130,162,295,114,170,14,533,98,368,1154,193,,206,316,,21,189,146
03/06/2020 13:00,362,533,,201,1021,362,344,390,70,217,34,579,131,386,1449,120,,246,328,,19,193,193
03/06/2020 14:00,425,468,,227,831,403,288,552,77,220,29,578,165,429,1764,186,,221,426,,36,197,203
03/06/2020 15:00,437,527,,196,1038,369,274,519,207,202,36,568,139,448,1571,138,,300,396,,25,200,196
03/06/2020 16:00,463,538,,171,915,389,97,512,135,266,31,626,150,536,1694,162,,280,450,,26,234,218
03/06/2020 17:00,508,501,,195,831,497,75,449,178,227,45,573,136,521,1716,230,,241,604,,27,218,212
03/06/2020 18:00,369,477,,210,811,423,141,309,112,167,44,535,116,435,1502,232,,172,425,,30,196,173
03/06/2020 19:00,268,295,,112,423,250,108,316,133,119,49,348,77,345,1418,106,,109,878,,29,128,121
03/06/2020 20:00,167,239,,85,444,209,175,376,109,90,48,211,52,283,657,79,,113,274,,73,101,70
03/06/2020 21:00,98,149,,96,371,200,162,264,114,60,46,160,32,245,422,28,,63,178,,71,70,51
03/06/2020 22:00,85,127,,53,317,159,118,381,83,59,45,97,16,255,684,55,,36,149,,8,66,35
03/06/2020 23:00,51,64,,10,152,30,66,296,79,46,31,38,3,214,423,39,,10,88,,12,35,18
04/06/2020 00:00,14,19,,14,78,7,207,148,27,4,3,14,2,78,71,17,,4,18,,9,8,11
04/06/2020 01:00,5,14,,6,56,7,69,98,12,6,3,8,6,25,84,5,,6,12,,2,9,4
04/06/2020 02:00,4,10,,4,43,0,52,137,56,5,3,12,0,21,33,14,,87,15,,1,3,2
04/06/2020 03:00,12,2,,3,3,1,56,188,14,1,1,5,2,18,32,2,,83,8,,14,3,2
04/06/2020 04:00,8,6,,2,8,10,9,39,14,10,2,6,3,18,67,2,,80,8,,3,4,6
04/06/2020 05:00,26,55,,7,13,32,22,46,47,21,3,17,7,52,128,27,,104,33,,7,23,24
04/06/2020 06:00,119,230,,31,302,288,88,218,132,99,17,71,62,218,514,142,,50,235,,51,102,113
04/06/2020 07:00,166,262,,42,612,281,92,254,168,218,41,106,78,327,660,99,,38,274,,59,151,155
04/06/2020 08:00,236,278,,77,464,391,108,376,79,157,57,154,100,400,673,111,,65,397,,48,153,183
04/06/2020 09:00,234,274,,90,378,358,83,255,234,134,43,257,110,348,713,101,,88,230,,22,132,149
04/06/2020 10:00,309,370,,113,517,254,111,251,138,174,22,378,97,337,943,96,,126,287,,22,147,149
04/06/2020 11:00,365,448,,197,487,199,132,323,97,167,35,397,91,292,1226,161,,169,318,,25,148,136
04/06/2020 12:00,479,461,,215,498,179,159,237,109,247,32,458,118,309,1301,167,,185,438,,23,211,157
04/06/2020 13:00,563,517,,262,891,263,135,321,89,320,31,584,143,308,1785,157,,258,463,,26,203,197
04/06/2020 14:00,462,484,,151,693,286,150,283,83,189,16,547,108,351,1863,116,,240,512,,32,176,177
04/06/2020 15:00,585,522,,218,585,248,145,340,99,218,33,568,134,374,1704,178,,241,536,,28,217,179
04/06/2020 16:00,651,534,,178,596,476,126,346,122,279,26,581,181,379,1770,185,,247,623,,64,238,252
04/06/2020 17:00,716,505,,205,794,534,184,337,210,256,54,585,179,422,1839,191,,259,726,,36,248,249
04/06/2020 18:00,584,431,,191,686,425,133,328,217,219,57,505,157,466,1546,115,,188,599,,38,200,193
04/06/2020 19:00,465,315,,145,432,294,94,256,124,163,68,387,115,360,1080,101,,130,377,,8,134,147
04/06/2020 20:00,288,305,,103,441,208,90,231,103,113,65,227,68,362,933,72,,103,311,,53,114,102
04/06/2020 21:00,166,170,,82,238,201,61,326,109,89,37,172,41,330,716,36,,51,195,,29,78,54
04/06/2020 22:00,111,158,,107,266,196,39,319,72,73,29,81,28,265,438,67,,46,175,,29,44,52
04/06/2020 23:00,47,81,,21,253,63,65,483,58,37,29,40,9,251,286,20,,18,107,,10,31,23
05/06/2020 00:00,18,10,,10,55,23,23,204,20,11,3,33,2,84,216,14,,12,52,,3,12,17
05/06/2020 01:00,7,11,,76,159,13,18,577,6,10,5,5,5,44,657,6,,3,15,,1,5,5
05/06/2020 02:00,8,4,,7,75,5,3,63,6,8,2,2,0,22,387,0,,0,9,,0,0,2
05/06/2020 03:00,5,4,,3,17,4,10,32,7,7,0,7,1,17,46,1,,2,8,,1,2,3
05/06/2020 04:00,7,9,,4,24,24,144,47,9,6,13,7,1,26,31,4,,1,39,,1,2,5
05/06/2020 05:00,21,45,,6,16,35,18,50,26,25,2,16,8,39,42,4,,2,87,,4,20,30
05/06/2020 06:00,112,221,,53,297,327,42,194,122,88,24,64,58,213,324,81,,27,218,,36,98,116
05/06/2020 07:00,174,276,,50,463,548,94,259,144,163,39,125,90,312,540,120,,38,298,,75,138,147
05/06/2020 08:00,323,258,,66,427,755,112,394,291,148,65,204,100,405,795,107,,70,293,,58,185,201
05/06/2020 09:00,372,281,,83,603,610,119,318,164,207,94,198,89,375,883,104,,22,304,,20,130,136
05/06/2020 10:00,446,380,,163,517,617,176,310,246,228,11,377,97,314,1121,121,,140,346,,43,166,150
05/06/2020 11:00,492,492,,187,822,658,176,447,156,204,24,464,104,332,1462,131,,231,397,,49,161,173
05/06/2020 12:00,506,558,,301,873,931,364,396,287,261,27,480,134,383,1697,117,,283,495,,147,187,183
05/06/2020 13:00,533,602,,286,1042,930,522,441,230,325,24,519,161,459,1838,155,,248,453,,131,251,250
05/06/2020 14:00,615,540,,158,967,937,201,378,255,286,26,596,165,452,1859,159,,258,426,,109,251,252
05/06/2020 15:00,549,540,,5,651,1087,171,352,226,267,32,588,140,395,1716,127,,273,561,,88,212,205
05/06/2020 16:00,449,569,,57,832,807,168,343,203,259,19,608,132,353,1899,147,,209,495,,78,220,231
05/06/2020 17:00,420,506,,232,602,806,172,367,245,226,41,577,150,380,2010,150,,195,435,,43,208,217
05/06/2020 18:00,358,469,,240,591,671,120,324,234,202,75,526,122,503,1643,150,,148,388,,27,208,198
05/06/2020 19:00,276,288,,146,406,515,53,340,163,131,74,381,72,363,1183,70,,118,306,,9,130,110
05/06/2020 20:00,225,237,,93,469,511,111,221,128,110,73,278,51,337,744,43,,83,245,,17,114,75
05/06/2020 21:00,135,212,,75,384,247,112,254,125,72,44,157,29,322,654,60,,30,177,,25,75,52
05/06/2020 22:00,119,133,,57,514,233,43,323,99,75,37,100,20,294,566,47,,22,157,,124,48,50
05/06/2020 23:00,55,92,,42,263,153,43,617,72,44,37,47,9,268,917,37,,7,46,,10,39,39
06/06/2020 00:00,39,24,,33,413,50,24,714,29,14,8,31,4,111,143,43,,12,37,,7,6,14
06/06/2020 01:00,14,9,,1,81,13,34,379,7,7,3,13,6,50,305,18,,5,12,,24,11,1
06/06/2020 02:00,13,9,,3,51,7,8,261,7,2,6,9,0,16,503,9,,5,13,,0,6,6
06/06/2020 03:00,9,7,,2,16,7,17,149,1,3,5,10,1,21,25,23,,1,10,,1,6,9
06/06/2020 04:00,9,4,,3,13,8,6,81,10,6,2,5,0,23,67,27,,4,4,,7,2,4
06/06/2020 05:00,6,21,,6,15,4,2,44,14,7,1,8,2,29,259,10,,1,12,,2,13,8
06/06/2020 06:00,54,88,,11,143,94,19,83,45,37,3,45,15,105,266,36,,14,80,,9,45,42
06/06/2020 07:00,51,122,,21,162,311,32,103,61,62,56,63,26,179,332,29,,19,200,,14,56,55
06/06/2020 08:00,108,111,,33,199,232,64,187,91,58,24,75,32,181,397,51,,23,146,,14,55,63
06/06/2020 09:00,174,166,,55,200,238,50,277,113,53,5,160,44,201,1244,59,,70,142,,19,59,56
06/06/2020 10:00,254,246,,125,224,307,246,181,140,93,8,251,54,243,1581,60,,87,193,,22,97,105
06/06/2020 11:00,366,337,,188,294,580,114,267,91,112,9,350,72,265,1381,92,,145,260,,26,122,118
06/06/2020 12:00,466,363,,291,433,311,137,346,129,163,12,407,93,262,1896,98,,224,409,,35,148,142
06/06/2020 13:00,563,435,,296,587,602,114,326,137,197,18,552,138,308,2095,148,,242,428,,31,213,202
06/06/2020 14:00,676,611,,307,631,708,529,400,128,241,25,600,184,357,2490,137,,253,548,,33,222,219
06/06/2020 15:00,649,607,,333,708,682,22,396,153,179,19,602,146,364,2548,154,,291,572,,37,211,202
06/06/2020 16:00,626,594,,267,832,699,2,307,135,164,63,605,162,376,2048,145,,245,481,,34,218,265
06/06/2020 17:00,484,393,,182,831,658,62,350,121,196,99,505,116,371,1162,110,,188,488,,23,224,171
06/06/2020 18:00,299,294,,127,409,462,166,578,109,125,107,395,53,256,1050,67,,139,350,,33,146,103
06/06/2020 19:00,209,263,,81,321,352,86,354,100,95,144,316,59,208,855,65,,91,228,,26,99,82
06/06/2020 20:00,154,195,,98,408,346,43,445,90,89,82,224,38,189,653,69,,73,261,,22,68,57
06/06/2020 21:00,111,134,,116,350,216,42,443,83,72,76,116,23,223,494,24,,33,202,,5,73,54
06/06/2020 22:00,100,110,,59,277,262,55,370,87,70,48,88,16,212,428,53,,25,191,,15,61,35
06/06/2020 23:00,53,71,,62,186,92,85,382,51,38,64,59,19,143,222,13,,15,107,,8,41,29
07/06/2020 00:00,27,22,,26,128,28,14,213,22,19,9,23,9,69,210,13,,8,22,,2,26,26
07/06/2020 01:00,23,19,,5,129,414,5,607,7,9,19,15,2,35,66,4,,20,17,,2,6,7
07/06/2020 02:00,13,11,,7,53,41,19,81,4,15,35,10,2,24,235,0,,6,19,,1,15,7
07/06/2020 03:00,10,10,,3,43,4,7,39,5,6,57,30,6,25,177,10,,2,72,,5,4,4
07/06/2020 04:00,8,7,,2,4,7,2,97,1,8,88,5,5,25,79,2,,0,4,,1,3,7
07/06/2020 05:00,12,8,,5,10,8,6,46,1,8,139,15,6,19,46,33,,2,12,,2,9,8
07/06/2020 06:00,20,39,,23,39,26,8,64,17,16,407,9,12,41,56,11,,1,38,,10,15,25
07/06/2020 07:00,35,49,,18,77,109,8,81,32,23,201,28,10,52,80,29,,9,52,,11,28,23
07/06/2020 08:00,70,78,,24,274,145,15,172,43,38,467,39,31,114,168,89,,16,107,,23,62,43
07/06/2020 09:00,107,96,,38,250,160,38,378,55,39,183,122,24,161,263,45,,90,107,,29,65,57
07/06/2020 10:00,186,143,,92,225,180,50,190,77,64,130,146,38,197,628,84,,69,158,,48,84,73
07/06/2020 11:00,303,194,,135,443,198,80,187,87,123,108,254,75,199,774,100,,130,275,,65,105,114
07/06/2020 12:00,417,329,,179,330,390,172,201,92,132,145,400,115,253,1128,107,,188,461,,34,153,142
07/06/2020 13:00,522,349,,241,985,423,109,250,140,165,84,434,147,306,1507,355,,266,550,,18,202,201
07/06/2020 14:00,615,430,,241,445,417,130,270,149,170,103,504,197,348,1485,560,,318,508,,52,216,210
07/06/2020 15:00,657,469,,269,612,459,106,237,129,202,120,480,225,347,1511,556,,331,561,,25,250,271
07/06/2020 16:00,604,459,,201,581,477,99,321,127,192,97,433,177,353,1473,598,,304,567,,33,199,212
07/06/2020 17:00,597,426,,169,622,483,77,231,141,176,85,431,151,338,1254,252,,293,547,,23,206,233
07/06/2020 18:00,563,378,,167,528,412,103,220,142,148,107,440,132,410,1267,109,,232,601,,26,182,157
07/06/2020 19:00,445,313,,135,491,417,56,223,131,134,79,311,116,410,1062,112,,112,448,,25,164,128
07/06/2020 20:00,298,268,,102,398,317,68,235,98,121,79,260,68,331,681,101,,115,290,,16,138,117
07/06/2020 21:00,247,211,,82,488,279,77,242,76,104,66,150,40,327,498,76,,68,251,,27,129,68
07/06/2020 22:00,128,138,,65,224,191,47,273,70,65,57,105,32,246,523,40,,28,115,,42,80,58
07/06/2020 23:00,66,71,,29,179,125,56,321,56,39,72,56,6,251,744,163,,31,116,,12,39,26
