Counter Locations,Latitude,Longitude,Setup Date,User Type
Henry Street,53.34973,-6.2609,16/07/2013,Pedestrians
O'Connell St Outside Clerys,53.34902,-6.26005,07/06/2011,Pedestrians
Mary Street,53.34877,-6.26674,09/06/2011,Pedestrians
Capel Street,53.34842,-6.26918,01/08/2011,Pedestrians
Aston Quay,53.34662,-6.25982,27/02/2019,Pedestrians
Grafton Street @ CompuB,53.34337,-6.25898,27/02/2019,Pedestrians
Talbot Street North,53.33632,-6.33891,27/02/2019,Pedestrians
"Doilier Street, Burgh Quay",53.3469,-6.25872,27/02/2019,Pedestrians
Dawson Street Replacement,53.34144,-6.25825,26/11/2019,Pedestrians
Dame Street,53.34424,-6.26116,27/02/2019,Pedestrians
Talbot Street South,53.35012,-6.2577,27/02/2019,Pedestrians
"O'Connell St, Parnell St @ AIB",53.35231721,-6.261675274,19/03/2019,Pedestrians
Grafton Street / Nassau Street / Suffolk Street,53.34352,-6.25912,27/02/2019,Pedestrians
"College Green, Bank Of Ireland",53.34505,-6.25939,27/02/2019,Pedestrians
O'Connell St Outside Pennys,53.34874,-6.26011,07/06/2011,Pedestrians
Grafton Street,53.34082,-6.26035,09/05/2016,Pedestrians
Westmoreland Street East,53.34554,-6.25919,06/05/2016,Pedestrians
Dawson Street,53.341194,-6.258337,06/05/2016,Pedestrians
Liffey Street,53.34687,-6.26335,09/06/2011,Pedestrians
Westmoreland Street West,53.34634753,-6.259197438,06/05/2016,Pedestrians
College Green @ Church Lane,53.3442633,-6.260774367,27/02/2019,Pedestrians
College Green - Dame St Side,53.34509951,-6.258778243,27/02/2019,Pedestrians
Bachelors Walk,53.34719979,-6.260863323,27/02/2019,Pedestrians
